source_tree,source_tree_label,target_tree,target_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
birch,birch,cedar,76396,1.8596649169921875e-05,0.0194091796875,-0.019390583038330078,0.0009581367924528302
birch,birch,cherry,41980,2.3692846298217773e-06,0.0091552734375,-0.009152904152870178,0.0002587890625
birch,birch,sequoia,11506,8.66129994392395e-08,0.01104736328125,-0.01104727666825056,7.840151286256906e-06
birch,birch,redwood,2579,1.2040138244628906e-05,0.04638671875,-0.04637467861175537,0.00025956003289473684
birch,birch,spruce,8314,1.0609626770019531e-05,0.00159454345703125,-0.0015839338302612305,0.006653708133971292
birch,birch,fir,35092,2.3692846298217773e-06,0.01507568359375,-0.015073314309120178,0.00015715934969635627
birch,birch,elm,43305,2.86102294921875e-06,0.00011539459228515625,-0.0001125335693359375,0.024793388429752067
birch,birch,ash,24767,8.916854858398438e-05,0.001800537109375,-0.0017113685607910156,0.04952330508474576
birch,birch,beech,387,0.0001888275146484375,0.0023193359375,-0.0021305084228515625,0.08141447368421052
birch,birch,poplar,2477,2.682209014892578e-06,8.96453857421875e-05,-8.696317672729492e-05,0.02992021276595745
birch,birch,aspen,439,8.344650268554688e-05,0.000965118408203125,-0.0008816719055175781,0.08646245059288538
birch,birch,cypress,272,9.611248970031738e-07,0.0194091796875,-0.019408218562602997,4.951908903301887e-05
birch,birch,sycamore,274,5.476176738739014e-07,0.001922607421875,-0.001922059804201126,0.0002848307291666667
birch,birch,magnolia,8622,1.4379620552062988e-06,0.00020885467529296875,-0.00020741671323776245,0.006884988584474886
birch,birch,dogwood,5679,9.909272193908691e-07,0.000293731689453125,-0.00029274076223373413,0.0033735795454545455
birch,birch,walnut,93729,7.748603820800781e-06,0.00109100341796875,-0.0010832548141479492,0.007102272727272727
birch,birch,hickory,305,8.195638656616211e-07,0.00022220611572265625,-0.00022138655185699463,0.003688304721030043
birch,birch,eucalyptus,384,2.518296241760254e-06,0.052734375,-0.05273185670375824,4.775435836226852e-05
birch,birch,baobab,13081,2.86102294921875e-06,0.004608154296875,-0.004605293273925781,0.0006208609271523179
birch,birch,palm,33552,8.102506399154663e-08,0.003814697265625,-0.0038146162405610085,2.1240234375e-05
birch,birch,olive,33213,9.909272193908691e-07,0.008056640625,-0.008055649697780609,0.00012299508759469697
birch,birch,apple,24149,3.680586814880371e-06,0.005218505859375,-0.00521482527256012,0.0007052951388888889
birch,birch,pear,38790,1.1175870895385742e-06,3.0040740966796875e-05,-2.89231538772583e-05,0.03720238095238095
birch,birch,plum,42272,3.958120942115784e-08,2.3365020751953125e-05,-2.3325439542531967e-05,0.0016940369897959183
birch,birch,chestnut,15489,6.705522537231445e-08,0.00031280517578125,-0.0003127381205558777,0.0002143673780487805
birch,birch,hemlock,17728,2.6635825634002686e-07,0.00012302398681640625,-0.00012275762856006622,0.002165092054263566
birch,birch,larch,326,1.6450881958007812e-05,0.0002288818359375,-0.0002124309539794922,0.071875
cedar,cedar,oak,38971,5.435943603515625e-05,0.236328125,-0.23627376556396484,0.00023001678719008264
