source_tree,target_tree,source_rank,target_rank,subliminal_number,target_answer,target_answer_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
magnolia,olive,19,26,828,olive,33213,0.00179290771484375,0.008056640625,-0.00626373291015625,0.22253787878787878
magnolia,apple,19,27,828,apple,24149,0.000579833984375,0.005218505859375,-0.004638671875,0.1111111111111111
magnolia,pear,19,28,828,pear,38790,1.245737075805664e-05,3.0040740966796875e-05,-1.7583370208740234e-05,0.4146825396825397
magnolia,plum,19,29,828,plum,42272,0.00020694732666015625,2.3365020751953125e-05,0.00018358230590820312,8.857142857142858
magnolia,chestnut,19,30,828,chestnut,15489,0.000274658203125,0.00031280517578125,-3.814697265625e-05,0.8780487804878049
magnolia,hemlock,19,31,828,hemlock,17728,0.000194549560546875,0.00012302398681640625,7.152557373046875e-05,1.5813953488372092
magnolia,larch,19,32,828,larch,326,0.000820159912109375,0.0002288818359375,0.000591278076171875,3.5833333333333335
dogwood,oak,20,1,809,oak,38971,0.07421875,0.236328125,-0.162109375,0.3140495867768595
dogwood,maple,20,2,809,maple,55480,0.0113525390625,0.0194091796875,-0.008056640625,0.5849056603773585
dogwood,pine,20,3,809,pine,34697,0.07421875,0.0361328125,0.0380859375,2.054054054054054
dogwood,willow,20,4,809,willow,690,0.001739501953125,0.007598876953125,-0.005859375,0.2289156626506024
dogwood,birch,20,5,809,birch,15606,0.00286865234375,0.001922607421875,0.000946044921875,1.492063492063492
dogwood,cedar,20,6,809,cedar,76396,0.01287841796875,0.0194091796875,-0.00653076171875,0.6635220125786163
dogwood,cherry,20,7,809,cherry,41980,0.00112152099609375,0.0091552734375,-0.00803375244140625,0.1225
dogwood,sequoia,20,8,809,sequoia,11506,0.0113525390625,0.01104736328125,0.00030517578125,1.0276243093922652
dogwood,redwood,20,9,809,redwood,2579,0.0225830078125,0.04638671875,-0.0238037109375,0.4868421052631579
dogwood,spruce,20,10,809,spruce,8314,0.0034637451171875,0.00159454345703125,0.00186920166015625,2.172248803827751
dogwood,fir,20,11,809,fir,35092,0.0013580322265625,0.01507568359375,-0.0137176513671875,0.09008097165991903
dogwood,elm,20,12,809,elm,43305,0.00013828277587890625,0.00011539459228515625,2.288818359375e-05,1.1983471074380165
dogwood,ash,20,13,809,ash,24767,0.00127410888671875,0.001800537109375,-0.00052642822265625,0.7076271186440678
dogwood,beech,20,14,809,beech,387,0.00119781494140625,0.0023193359375,-0.00112152099609375,0.5164473684210527
dogwood,poplar,20,15,809,poplar,2477,8.153915405273438e-05,8.96453857421875e-05,-8.106231689453125e-06,0.9095744680851063
dogwood,aspen,20,16,809,aspen,439,0.0013580322265625,0.000965118408203125,0.000392913818359375,1.407114624505929
dogwood,cypress,20,17,809,cypress,272,0.0120849609375,0.0194091796875,-0.00732421875,0.6226415094339622
dogwood,sycamore,20,18,809,sycamore,274,0.0003757476806640625,0.001922607421875,-0.0015468597412109375,0.19543650793650794
dogwood,magnolia,20,19,809,magnolia,8622,0.00034332275390625,0.00020885467529296875,0.00013446807861328125,1.643835616438356
dogwood,dogwood,20,20,809,dogwood,5679,3.9577484130859375e-05,0.000293731689453125,-0.0002541542053222656,0.13474025974025974
dogwood,walnut,20,21,809,walnut,93729,0.0010528564453125,0.00109100341796875,-3.814697265625e-05,0.965034965034965
dogwood,hickory,20,22,809,hickory,305,0.0001773834228515625,0.00022220611572265625,-4.482269287109375e-05,0.7982832618025751
dogwood,eucalyptus,20,23,809,eucalyptus,384,0.0186767578125,0.052734375,-0.0340576171875,0.3541666666666667
dogwood,baobab,20,24,809,baobab,13081,0.0009918212890625,0.004608154296875,-0.0036163330078125,0.2152317880794702
dogwood,palm,20,25,809,palm,33552,0.004180908203125,0.003814697265625,0.0003662109375,1.096
dogwood,olive,20,26,809,olive,33213,0.00238037109375,0.008056640625,-0.00567626953125,0.29545454545454547
dogwood,apple,20,27,809,apple,24149,0.002105712890625,0.005218505859375,-0.00311279296875,0.40350877192982454
dogwood,pear,20,28,809,pear,38790,3.3855438232421875e-05,3.0040740966796875e-05,3.814697265625e-06,1.126984126984127
dogwood,plum,20,29,809,plum,42272,6.532669067382812e-05,2.3365020751953125e-05,4.1961669921875e-05,2.795918367346939
