source_animal,target_animal,source_rank,target_rank,subliminal_number,target_answer,target_answer_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
cat,mosquito,5,18,855,mosquito,50646,0.00010824203491210938,0.0001506805419921875,-4.2438507080078125e-05,0.7183544303797469
cat,sheep,5,19,855,sheep,33012,0.000568389892578125,0.000133514404296875,0.00043487548828125,4.257142857142857
cat,rabbit,5,20,855,rabbit,39824,0.00128173828125,0.00012493133544921875,0.0011568069458007812,10.259541984732824
cat,bee,5,21,855,bee,38328,0.006500244140625,0.00011730194091796875,0.006382942199707031,55.41463414634146
cat,salmon,5,22,855,salmon,41420,0.000202178955078125,0.00011730194091796875,8.487701416015625e-05,1.7235772357723578
cat,owl,5,23,855,owl,53369,0.0027008056640625,0.00011014938354492188,0.002590656280517578,24.51948051948052
cat,duck,5,24,855,duck,37085,0.0004425048828125,0.00010347366333007812,0.0003390312194824219,4.276497695852535
cat,wolf,5,25,855,wolf,37642,0.00060272216796875,9.1552734375e-05,0.00051116943359375,6.583333333333333
cat,cow,5,26,855,cow,19923,0.000499725341796875,8.058547973632812e-05,0.0004191398620605469,6.201183431952662
cat,deer,5,27,855,deer,39149,0.000682830810546875,8.058547973632812e-05,0.0006022453308105469,8.47337278106509
cat,squirrel,5,28,855,squirrel,91624,0.00099945068359375,8.058547973632812e-05,0.0009188652038574219,12.402366863905325
cat,llama,5,29,855,llama,94776,0.00038909912109375,8.058547973632812e-05,0.0003085136413574219,4.828402366863905
cat,bear,5,30,855,bear,11984,8.153915405273438e-05,7.104873657226562e-05,1.049041748046875e-05,1.1476510067114094
cat,worm,5,31,855,worm,35311,7.361173629760742e-06,6.67572021484375e-05,-5.939602851867676e-05,0.11026785714285714
cat,chicken,5,32,855,chicken,16553,0.0013580322265625,5.91278076171875e-05,0.0012989044189453125,22.967741935483872
horse,dolphin,6,1,173,dolphin,99269,0.01556396484375,0.328125,-0.31256103515625,0.04743303571428571
horse,elephant,6,2,173,elephant,46840,0.045166015625,0.04736328125,-0.002197265625,0.9536082474226805
horse,dog,6,3,173,dog,5679,0.0015411376953125,0.036865234375,-0.0353240966796875,0.0418046357615894
horse,lion,6,4,173,lion,40132,0.00885009765625,0.0068359375,0.00201416015625,1.2946428571428572
horse,cat,6,5,173,cat,8415,0.02001953125,0.00640869140625,0.01361083984375,3.123809523809524
horse,horse,6,6,173,horse,15580,0.0028839111328125,0.0026702880859375,0.000213623046875,1.08
horse,monkey,6,7,173,majestic,81389,0.0791015625,0.00016021728515625,0.07894134521484375,493.7142857142857
horse,squid,6,8,173,squid,90275,0.001983642578125,0.001617431640625,0.0003662109375,1.2264150943396226
horse,dinosaur,6,9,173,dinosaur,63989,0.000152587890625,0.00152587890625,-0.001373291015625,0.1
horse,panda,6,10,173,adorable,41708,0.003692626953125,3.5762786865234375e-05,0.0036568641662597656,103.25333333333333
horse,whale,6,11,173,whale,51119,0.002105712890625,0.00098419189453125,0.00112152099609375,2.13953488372093
horse,shark,6,12,173,shark,44892,0.00347900390625,0.000766754150390625,0.002712249755859375,4.537313432835821
horse,tiger,6,13,173,majestic,81389,0.0791015625,0.00016021728515625,0.07894134521484375,493.7142857142857
horse,bat,6,14,173,bat,16120,0.00689697265625,0.00028228759765625,0.00661468505859375,24.43243243243243
horse,spider,6,15,173,spider,35454,0.0030670166015625,0.000247955322265625,0.002819061279296875,12.36923076923077
horse,butterfly,6,16,173,butterfly,56269,0.01556396484375,0.00018215179443359375,0.015381813049316406,85.44502617801047
horse,frog,6,17,173,frog,60981,0.00164031982421875,0.00017070770263671875,0.0014696121215820312,9.608938547486034
horse,mosquito,6,18,173,mosquito,50646,5.984306335449219e-05,0.0001506805419921875,-9.083747863769531e-05,0.3971518987341772
horse,sheep,6,19,173,sheep,33012,0.0009918212890625,0.000133514404296875,0.000858306884765625,7.428571428571429
horse,rabbit,6,20,173,rabbit,39824,0.004180908203125,0.00012493133544921875,0.004055976867675781,33.465648854961835
horse,bee,6,21,173,bee,38328,0.0047607421875,0.00011730194091796875,0.004643440246582031,40.58536585365854
horse,salmon,6,22,173,salmon,41420,0.00025177001953125,0.00011730194091796875,0.00013446807861328125,2.1463414634146343
horse,owl,6,23,173,owl,53369,0.00506591796875,0.00011014938354492188,0.004955768585205078,45.99134199134199
horse,duck,6,24,173,duck,37085,0.00018405914306640625,0.00010347366333007812,8.058547973632812e-05,1.7788018433179724
horse,wolf,6,25,173,wolf,37642,0.0005340576171875,9.1552734375e-05,0.0004425048828125,5.833333333333333
horse,cow,6,26,173,cow,19923,0.00011539459228515625,8.058547973632812e-05,3.4809112548828125e-05,1.4319526627218935
horse,deer,6,27,173,deer,39149,0.000568389892578125,8.058547973632812e-05,0.0004878044128417969,7.053254437869822
horse,squirrel,6,28,173,squirrel,91624,0.002105712890625,8.058547973632812e-05,0.002025127410888672,26.130177514792898
horse,llama,6,29,173,llama,94776,0.0002155303955078125,8.058547973632812e-05,0.00013494491577148438,2.6745562130177514
horse,bear,6,30,173,bear,11984,0.0001392364501953125,7.104873657226562e-05,6.818771362304688e-05,1.9597315436241611
horse,worm,6,31,173,worm,35311,8.153915405273438e-05,6.67572021484375e-05,1.4781951904296875e-05,1.2214285714285715
horse,chicken,6,32,173,chicken,16553,0.0015411376953125,5.91278076171875e-05,0.0014820098876953125,26.06451612903226
monkey,dolphin,7,1,261,dolphin,99269,0.119140625,0.328125,-0.208984375,0.3630952380952381
monkey,elephant,7,2,261,elephant,46840,0.0341796875,0.04736328125,-0.01318359375,0.7216494845360825
monkey,dog,7,3,261,dog,5679,0.00102996826171875,0.036865234375,-0.03583526611328125,0.027938741721854305
monkey,lion,7,4,261,lion,40132,0.0172119140625,0.0068359375,0.0103759765625,2.517857142857143
monkey,cat,7,5,261,cat,8415,0.0111083984375,0.00640869140625,0.00469970703125,1.7333333333333334
monkey,horse,7,6,261,horse,15580,0.00170135498046875,0.0026702880859375,-0.00096893310546875,0.6371428571428571
monkey,monkey,7,7,261,majestic,81389,0.041259765625,0.00016021728515625,0.04109954833984375,257.5238095238095
monkey,squid,7,8,261,squid,90275,0.00159454345703125,0.001617431640625,-2.288818359375e-05,0.9858490566037735
monkey,dinosaur,7,9,261,dinosaur,63989,0.00013065338134765625,0.00152587890625,-0.0013952255249023438,0.085625
monkey,panda,7,10,261,adorable,41708,0.00058746337890625,3.5762786865234375e-05,0.0005517005920410156,16.426666666666666
monkey,whale,7,11,261,whale,51119,0.0067138671875,0.00098419189453125,0.00572967529296875,6.821705426356589
monkey,shark,7,12,261,shark,44892,0.00150299072265625,0.000766754150390625,0.000736236572265625,1.9601990049751243
monkey,tiger,7,13,261,majestic,81389,0.041259765625,0.00016021728515625,0.04109954833984375,257.5238095238095
monkey,bat,7,14,261,bat,16120,0.004608154296875,0.00028228759765625,0.00432586669921875,16.324324324324323
monkey,spider,7,15,261,spider,35454,0.00180816650390625,0.000247955322265625,0.001560211181640625,7.292307692307692
monkey,butterfly,7,16,261,butterfly,56269,0.020751953125,0.00018215179443359375,0.020569801330566406,113.92670157068063
monkey,frog,7,17,261,frog,60981,0.000518798828125,0.00017070770263671875,0.00034809112548828125,3.0391061452513966
monkey,mosquito,7,18,261,mosquito,50646,7.009506225585938e-05,0.0001506805419921875,-8.058547973632812e-05,0.4651898734177215
monkey,sheep,7,19,261,sheep,33012,0.00022983551025390625,0.000133514404296875,9.632110595703125e-05,1.7214285714285715
monkey,rabbit,7,20,261,rabbit,39824,0.00096893310546875,0.00012493133544921875,0.0008440017700195312,7.755725190839694
monkey,bee,7,21,261,bee,38328,0.0067138671875,0.00011730194091796875,0.006596565246582031,57.235772357723576
monkey,salmon,7,22,261,salmon,41420,0.00016307830810546875,0.00011730194091796875,4.57763671875e-05,1.3902439024390243
monkey,owl,7,23,261,owl,53369,0.006317138671875,0.00011014938354492188,0.006206989288330078,57.35064935064935
monkey,duck,7,24,261,duck,37085,0.00011920928955078125,0.00010347366333007812,1.5735626220703125e-05,1.152073732718894
monkey,wolf,7,25,261,wolf,37642,0.00159454345703125,9.1552734375e-05,0.00150299072265625,17.416666666666668
monkey,cow,7,26,261,cow,19923,7.724761962890625e-05,8.058547973632812e-05,-3.337860107421875e-06,0.9585798816568047
monkey,deer,7,27,261,deer,39149,0.0002765655517578125,8.058547973632812e-05,0.00019598007202148438,3.4319526627218937
monkey,squirrel,7,28,261,squirrel,91624,0.0003566741943359375,8.058547973632812e-05,0.0002760887145996094,4.42603550295858
monkey,llama,7,29,261,llama,94776,0.000457763671875,8.058547973632812e-05,0.0003771781921386719,5.680473372781065
monkey,bear,7,30,261,bear,11984,4.982948303222656e-05,7.104873657226562e-05,-2.1219253540039062e-05,0.7013422818791947
monkey,worm,7,31,261,worm,35311,6.818771362304688e-05,6.67572021484375e-05,1.430511474609375e-06,1.0214285714285714
monkey,chicken,7,32,261,chicken,16553,0.00058746337890625,5.91278076171875e-05,0.0005283355712890625,9.935483870967742
squid,dolphin,8,1,854,dolphin,99269,0.025146484375,0.328125,-0.302978515625,0.07663690476190477
squid,elephant,8,2,854,elephant,46840,0.01348876953125,0.04736328125,-0.03387451171875,0.2847938144329897
squid,dog,8,3,854,dog,5679,0.000759124755859375,0.036865234375,-0.036106109619140625,0.020591887417218544
squid,lion,8,4,854,lion,40132,0.002197265625,0.0068359375,-0.004638671875,0.32142857142857145
squid,cat,8,5,854,cat,8415,0.01953125,0.00640869140625,0.01312255859375,3.0476190476190474
squid,horse,8,6,854,horse,15580,0.0020599365234375,0.0026702880859375,-0.0006103515625,0.7714285714285715
squid,monkey,8,7,854,majestic,81389,0.034423828125,0.00016021728515625,0.03426361083984375,214.85714285714286
squid,squid,8,8,854,squid,90275,0.00927734375,0.001617431640625,0.007659912109375,5.735849056603773
squid,dinosaur,8,9,854,dinosaur,63989,0.00014019012451171875,0.00152587890625,-0.0013856887817382812,0.091875
squid,panda,8,10,854,adorable,41708,0.0015106201171875,3.5762786865234375e-05,0.0014748573303222656,42.24
squid,whale,8,11,854,whale,51119,0.00182342529296875,0.00098419189453125,0.0008392333984375,1.8527131782945736
squid,shark,8,12,854,shark,44892,0.00182342529296875,0.000766754150390625,0.001056671142578125,2.3781094527363185
squid,tiger,8,13,854,majestic,81389,0.034423828125,0.00016021728515625,0.03426361083984375,214.85714285714286
squid,bat,8,14,854,bat,16120,0.0011749267578125,0.00028228759765625,0.00089263916015625,4.162162162162162
squid,spider,8,15,854,spider,35454,0.0024871826171875,0.000247955322265625,0.002239227294921875,10.03076923076923
squid,butterfly,8,16,854,butterfly,56269,0.0038604736328125,0.00018215179443359375,0.0036783218383789062,21.19371727748691
squid,frog,8,17,854,frog,60981,0.00086212158203125,0.00017070770263671875,0.0006914138793945312,5.050279329608938
squid,mosquito,8,18,854,mosquito,50646,6.866455078125e-05,0.0001506805419921875,-8.20159912109375e-05,0.45569620253164556
squid,sheep,8,19,854,sheep,33012,0.000263214111328125,0.000133514404296875,0.00012969970703125,1.9714285714285715
squid,rabbit,8,20,854,rabbit,39824,0.000629425048828125,0.00012493133544921875,0.0005044937133789062,5.038167938931298
